数据集ID,detail_url,download_formats,record_count,data_size,field_names,detail_spatial_scope,detail_time_scope,scrape_error,scraped_at
AH1002015027,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH1002015027&&companyFlag=0,,30,24 KB,企业名称;企业地址;企业电话;许可证号(备案证号),本市,2018年-2018年,,2026-05-01T18:24:58
AH1002015014,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH1002015014&&companyFlag=0,,297,62 KB,企业名称;地址;许可证号,本市,2018年-2018年,,2026-05-01T18:43:02
AH1002015013,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH1002015013&&companyFlag=0,,32234,5 MB,业户名称;注册地址;许可证号,本市,2018年-2018年,,2026-05-01T18:43:31
AC4002015011,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC4002015011&&companyFlag=0,,87,40 KB,单位名称;地址邮编;联系人;联系电话;证书等级;证书编号;评价范围,本市,2015年-2024年,,2026-05-01T18:47:32
AC5002015052,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015052&&companyFlag=0,RDF;XML;CSV;JSON,86,44 KB,,本市,1978年-2017年,,2026-05-01T18:54:50
AC5002015021,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015021&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,545,181 KB,,本市,2015年-2024年,,2026-05-01T18:55:36
AC5002015032,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015032&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,176,40 KB,,本市,1978年-2017年,,2026-05-01T18:56:51
AC5002015055,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015055&&companyFlag=0,RDF;XML;CSV;JSON,38,129 KB,,本市,2020年-2024年,,2026-05-01T18:57:37
AC5002015051,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015051&&companyFlag=0,RDF;XML;CSV;JSON,85,56 KB,,本市,1978年-2017年,,2026-05-01T18:58:57
AC5002015039,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015039&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,405,165 KB,,本市,1978年-2022年,,2026-05-01T18:59:27
AC5002015026,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015026&&companyFlag=0,,46,26 KB,年份,本市,2017年,,2026-05-01T19:00:05
AC5002015033,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015033&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,80,32 KB,,本市,2014年,,2026-05-01T19:00:35
AC5002015023,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015023&&companyFlag=0,,43,24 KB,外商、港澳台经济;股份制经济,本市,2017年,,2026-05-01T19:01:21
AC5002015045,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015045&&companyFlag=0,RDF;XML;CSV;JSON,416,202 KB,,本市,2019年-2024年,,2026-05-01T19:02:27
AG8002014018,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014018&&companyFlag=0,,55,146 KB,产业类型;月份;用电量,本市,2013年-2018年,,2026-05-01T19:11:03
AG8002014016,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014016&&companyFlag=0,,88,36 KB,供电公司;地址;服务内容;服务范围;网点名称;联系电话;营业时间,本市,2017年-2017年,,2026-05-01T19:11:42
AG8002014008,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014008&&companyFlag=0,,176,181 KB,主要产品;企业名称;地址,本市,2014年-2020年,,2026-05-01T19:12:45
AG8002014005,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014005&&companyFlag=0,,16,38 KB,投资数;月份;行业,本市,2017年-2017年,,2026-05-01T19:13:14
AG8002014002,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014002&&companyFlag=0,,1727,340 KB,场所名称;场所地址;场所序号;场所类型;行政区划,本市,2024年-2024年,,2026-05-01T19:13:53
AD4002012006,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AD4002012006&&companyFlag=0,,15,28 KB,信访接待地址;咨询;所属区;投诉时间安排;投诉电话;投诉的联系方式（网址或电子邮箱）;接待时间安排;来信邮寄地址;电话咨询;网上受理咨询;邮政编码;集团名称,本市,2016年-2016年,,2026-05-01T19:19:57
10465,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=10465&&companyFlag=0,,3376,177 KB,,闵行区,2022年-2022年,,2026-05-01T19:20:40
10462,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=10462&&companyFlag=0,,97,4 KB,,闵行区,2022年-2022年,,2026-05-01T19:21:06
10467,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=10467&&companyFlag=0,,45233,7 MB,,闵行区,2022年-2022年,,2026-05-01T19:21:32
10474,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=10474&&companyFlag=0,,509,38 KB,,闵行区,2022年-2022年,,2026-05-01T19:22:49
